Codice,Descrizione,Provincia,DataFineVal
100000301,AFGHANISTAN,ES,
100000201,ALBANIA,ES,
100000401,ALGERIA,ES,
100000202,ANDORRA,ES,
100000402,ANGOLA,ES,
100000733,ANGUILLA (ISOLA),ES,
100000503,ANTIGUA E BARBUDA,ES,
100000999,APOLIDE,ES,
100000302,ARABIA SAUDITA,ES,
100000602,ARGENTINA,ES,
100000358,ARMENIA,ES,
100000701,AUSTRALIA,ES,
100000203,AUSTRIA,ES,
100000359,AZERBAIGIAN,ES,
100000505,BAHAMAS,ES,
100000304,BAHREIN,ES,
100000305,BANGLADESH,ES,
100000506,BARBADOS,ES,
100000206,BELGIO,ES,
100000507,BELIZE,ES,
100000406,BENIN,ES,
100000739,BERMUDE,ES,
100000306,BHUTAN,ES,
100000256,BIELORUSSIA,ES,
100000604,BOLIVIA,ES,
100000740,BOPHUTHATSWANA,ES,01/05/1994 00:00:00
100000252,BOSNIA ED ERZEGOVINA,ES,
100000408,BOTSWANA,ES,
100000605,BRASILE,ES,
100000309,BRUNEI DARUSSALAM,ES,
100000209,BULGARIA,ES,
100000409,BURKINA FASO,ES,
100000410,BURUNDI,ES,
100000310,CAMBOGIA,ES,
100000411,CAMERUN,ES,
100000509,CANADA,ES,
100000413,CAPO VERDE,ES,
100000742,CAYMAN (ISOLE),ES,
100000210,CECOSLOVACCHIA,ES,01/01/1993 00:00:00
100000743,CHRISTMAS,ES,
100000415,CIAD,ES,
100000606,CILE,ES,
100000314,CINA,ES,
100000315,CIPRO,ES,
100000746,COCOS,ES,
100000608,COLOMBIA,ES,
100000417,COMORE,ES,
100000418,CONGO,ES,
100000319,COREA DEL NORD,ES,
100000320,COREA DEL SUD,ES,
100000404,COSTA D'AVORIO,ES,
100000513,COSTA RICA,ES,
100000250,CROAZIA,ES,
100000514,CUBA,ES,
100000212,DANIMARCA,ES,
100000515,DOMINICA,ES,
100000609,ECUADOR,ES,
100000419,EGITTO,ES,
100000517,EL SALVADOR,ES,
100000322,EMIRATI ARABI UNITI,ES,
100000466,ERITREA,ES,
100000247,ESTONIA,ES,
100000420,ETIOPIA,ES,
100000755,FAER OER,ES,
100000245,FEDERAZIONE RUSSA,ES,
100000703,FIGI,ES,
100000323,FILIPPINE,ES,
100000214,FINLANDIA,ES,
100000215,FRANCIA,ES,
100000421,GABON,ES,
100000422,GAMBIA,ES,
100000360,GEORGIA,ES,
110000022,GEORGIA SUD E ISOLE SANDWICH AUSTRALI,ES,
100000216,GERMANIA,ES,
100000423,GHANA,ES,
100000518,GIAMAICA,ES,
100000326,GIAPPONE,ES,
100000424,GIBUTI,ES,
100000327,GIORDANIA,ES,
100000220,GRECIA,ES,
100000519,GRENADA,ES,
100000758,GROENLANDIA,ES,
100000759,GUADALUPA,ES,
100000760,GUAM,ES,
100000523,GUATEMALA,ES,
100000761,GUAYANA FRANCESE,ES,
110000014,GUERNSEY,ES,
100000425,GUINEA,ES,
100000426,GUINEA BISSAU,ES,
100000427,GUINEA EQUATORIALE,ES,
100000612,GUYANA,ES,
100000524,HAITI,ES,
100000525,HONDURAS,ES,
110000005,HONG KONG,ES,
100000330,INDIA,ES,
100000331,INDONESIA,ES,
100000332,IRAN,ES,
100000333,IRAQ,ES,
100000221,IRLANDA,ES,
100000223,ISLANDA,ES,
100000764,ISOLE VERGINI,ES,
100000334,ISRAELE,ES,
100000100,ITALIA,ES,
100000356,KAZAKISTAN,ES,
100000428,KENYA,ES,
100000361,KIRGHIZISTAN,ES,
100000708,KIRIBATI,ES,
100001002,KOSOVO,ES,
100000335,KUWAIT,ES,
100000765,LA REUNION,ES,
100000336,LAOS,ES,
100000429,LESOTHO,ES,
100000248,LETTONIA,ES,
100000337,LIBANO,ES,
100000430,LIBERIA,ES,
100000431,LIBIA,ES,
100000225,LIECHTENSTEIN,ES,
100000249,LITUANIA,ES,
100000226,LUSSEMBURGO,ES,
110000003,MACAO,ES,
100000253,MACEDONIA,ES,13/02/2019 00:00:00
100000997,MACEDONIA DEL NORD,ES,
100000432,MADAGASCAR,ES,
100000434,MALAWI,ES,
100000767,MALAYSIA,ES,
100000339,MALDIVE,ES,
100000435,MALI,ES,
100000227,MALTA,ES,
100000768,MALVINE,ES,
100000769,MAN,ES,
100000436,MAROCCO,ES,
100000772,MARSHALL,ES,
100000773,MARTINICA,ES,
100000437,MAURITANIA,ES,
100000438,MAURIZIO,ES,
100000774,MAYOTTE,ES,
100000527,MESSICO,ES,
100000775,MICRONESIA STATI FEDERALI,ES,
100000254,MOLDAVIA,ES,
100000229,MONACO,ES,
100000341,MONGOLIA,ES,
100001001,MONTENEGRO,ES,
100000777,MONTSERRAT,ES,
100000440,MOZAMBICO,ES,
100000307,MYANMAR-BIRMANIA,ES,
100000441,NAMIBIA,ES,
100000715,NAURU,ES,
100000342,NEPAL,ES,
100000529,NICARAGUA,ES,
100000442,NIGER,ES,
100000443,NIGERIA,ES,
100000778,NORFOLK,ES,
100000231,NORVEGIA,ES,
100000780,NUOVA CALEDONIA,ES,
100000719,NUOVA ZELANDA,ES,
100000343,OMAN,ES,
100000232,PAESI BASSI,ES,
100000344,PAKISTAN,ES,
100000783,PALAU REPUBBLICA,ES,
110000001,PALESTINA,ES,
100000530,PANAMA,ES,
100000721,PAPUASIA-N.GUINEA,ES,
100000614,PARAGUAY,ES,
100000615,PERU',ES,
100000786,PITCAIRN,ES,
100000787,POLINESIA,ES,
100000233,POLONIA,ES,
100000234,PORTOGALLO,ES,
100000790,PUERTO RICO,ES,
100000345,QATAR,ES,
100000219,REGNO UNITO,ES,
100000257,REPUBBLICA CECA,ES,
100000414,REPUBBLICA CENTRAFRICANA,ES,
100000998,REPUBBLICA DEMOCRATICA DEL CONGO,ES,
100000516,REPUBBLICA DOMINICANA,ES,
100000255,REPUBBLICA SLOVACCA,ES,
100000235,ROMANIA,ES,
100000446,RUANDA,ES,
100000534,S. CHRISTOPHER E NEVIS,ES,
100000533,S. VINCENT E GRENADINE,ES,22/11/2001 00:00:00
100000795,SAHARA SPAGNOLO,ES,
100000532,SAINT LUCIA,ES,
100000796,SAINT PIERRE ET MIQUELON,ES,
100000797,SAINT VINCENT E GRENADINE,ES,
100000725,SALOMONE,ES,
100000727,SAMOA,ES,
100000798,SAMOA AMERICANE,ES,
100000236,SAN MARINO,ES,
100000799,SANT ELENA,ES,
100000448,SAO TOME' E PRINCIPE,ES,
100000450,SENEGAL,ES,
100001000,SERBIA,ES,
100000449,SEYCHELLES,ES,
100000451,SIERRA LEONE,ES,
100000346,SINGAPORE,ES,
100000348,SIRIA,ES,
100000251,SLOVENIA,ES,
100000453,SOMALIA,ES,
100000239,SPAGNA,ES,
100000311,SRI LANKA (CEYLON),ES,
100000536,STATI UNITI D'AMERICA,ES,
100000246,STATO DELLA CITTA' DEL VATICANO,ES,
100000467,SUD SUDAN,ES,
100000454,SUDAFRICA,ES,
100000455,SUDAN,ES,
100000616,SURINAME,ES,
100000240,SVEZIA,ES,
100000241,SVIZZERA,ES,
100000456,SWAZILAND,ES,
100000362,TAGIKISTAN,ES,
100000363,TAIWAN,ES,
100000457,TANZANIA,ES,
100000349,THAILANDIA,ES,
100000805,TIMOR,ES,
100000458,TOGO,ES,
100000806,TOKELAU,ES,
100000730,TONGA,ES,
100000617,TRINIDAD E TOBAGO,ES,
100000460,TUNISIA,ES,
100000351,TURCHIA,ES,
100000364,TURKMENISTAN,ES,
100000810,TURKS,ES,
100000731,TUVALU,ES,
100000243,UCRAINA,ES,
100000461,UGANDA,ES,
100000244,UNGHERIA,ES,
100000618,URUGUAY,ES,
100000357,UZBEKISTAN,ES,
100000732,VANUATU,ES,
100000619,VENEZUELA,ES,
100000812,VERGINI BRITANNICHE (ISOLE),ES,
100000353,VIETNAM,ES,
100000815,WALLIS,ES,
100000354,YEMEN,ES,
100000464,ZAMBIA,ES,
100000465,ZIMBABWE,ES,
